column,required,type,description
patient_id,yes,string,De-identified patient identifier shared across tables
cohort,yes,string,Analysis split with values train internal or external
age,yes,numeric,Age at baseline
sex,yes,string_or_integer,Sex encoded consistently within the study
ajcc_stage,yes,string_or_integer,AJCC stage used for clinical adjustment
chemotherapy,yes,integer,0 or 1 treatment indicator
induction_chemotherapy,yes,integer,0 or 1 treatment indicator
hbsag,yes,integer,0 for negative and 1 for positive
ebv_dna,yes,numeric,Pretreatment plasma EBV DNA copies per mL
dmfs_time,yes,numeric,DMFS follow-up time in months
dmfs_event,yes,integer,DMFS event indicator 0 or 1
pfs_time,yes,numeric,PFS follow-up time in months
pfs_event,yes,integer,PFS event indicator 0 or 1
os_time,yes,numeric,OS follow-up time in months
os_event,yes,integer,OS event indicator 0 or 1
lrrfs_time,yes,numeric,LRRFS follow-up time in months
lrrfs_event,yes,integer,LRRFS event indicator 0 or 1
